City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Muros,ES,60.01,overcast clouds,42.78,-9.06,Apartment Av. Castelao
453,Brigantine,US,48.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
459,Vestmannaeyjar,IS,41.0,broken clouds,63.44,-20.27,Glamping & Camping
467,Port Macquarie,AU,69.8,light rain,-31.43,152.92,Rydges Port Macquarie
473,Bantry,IE,50.0,overcast clouds,51.68,-9.45,The Maritime Hotel
474,Guiren,CN,42.01,clear sky,33.67,118.19,Suyuan Hotel
475,Crotone,IT,60.8,scattered clouds,39.09,17.12,Helios Hotel
476,Sterling,US,48.99,clear sky,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
479,Lexington,US,42.01,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
481,Groton,US,48.0,clear sky,41.35,-72.08,Red Roof Inn Mystic - New London
487,Powell River,CA,42.8,overcast clouds,49.85,-124.54,Rodmay Hotel
496,Naftalan,AZ,44.6,overcast clouds,40.51,46.83,Gashalti Health Hotel - Naftalan
504,Gushikawa,JP,68.0,overcast clouds,26.35,127.87,Kirari Guest House
506,Lata,PT,62.01,overcast clouds,40.16,-8.33,Casa Maquia
508,Morgan City,US,63.0,moderate rain,29.7,-91.21,Hampton Inn & Suites Morgan City
509,Suruc,TR,51.8,clear sky,36.98,38.42,Kumbet Otel
511,Virginia Beach,US,57.99,few clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
512,San Jeronimo,PE,57.45,moderate rain,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
518,Viedma,AR,62.01,clear sky,-40.81,-63.0,Hotel Cristal
521,Esquipulas,GT,66.2,scattered clouds,14.57,-89.35,Grand Caporal Hotel
523,Matata,NZ,54.0,overcast clouds,-37.88,176.75,paradise cabins
528,Noshiro,JP,43.2,overcast clouds,40.2,140.02,Azuma Ryokan
533,Rawson,AR,63.21,clear sky,-43.3,-65.1,Hotel Punta León
541,Gat,IL,64.0,clear sky,31.61,34.76,OlusHome
543,Kamyaran,IR,48.2,scattered clouds,34.8,46.94,Mobile Adab موبایل ادب
544,Mao,ES,59.0,few clouds,39.89,4.27,ARTIEM Capri
553,Tongren,CN,44.38,broken clouds,27.72,109.19,Fanjing Mountain International Conference Center
559,Katsuura,JP,51.8,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
560,Milton,US,54.0,overcast clouds,34.13,-84.3,SpringHill Suites by Marriott Atlanta Alpharetta
562,Santa Maria Del Oro,MX,52.41,clear sky,25.93,-105.37,Hotel Palacio Del Sol
565,Manbij,SY,55.4,clear sky,36.53,37.95,Manbej City Hotel
567,Lipari,IT,64.99,broken clouds,38.47,14.95,Hotel Villa Augustus
575,Nongpoh,IN,66.2,mist,25.9,91.88,PWD IB
576,Miraflores,MX,62.01,clear sky,19.22,-98.81,Hotel Mansión
579,Nedjo,ET,67.91,overcast clouds,9.5,35.5,Yerosan Hotel
585,El Monte,US,52.0,clear sky,34.07,-118.03,Ramada by Wyndham South El Monte
586,Ahipara,NZ,63.82,light rain,-35.17,173.17,Ahipara Holiday Park
587,Gravdal,NO,46.4,broken clouds,68.12,13.5,Skreda Rorbusuiter
588,Zhuhai,CN,68.0,clear sky,22.28,113.57,珠海粤财假日酒店
589,Ravenna,IT,46.99,overcast clouds,44.42,11.98,Hotel Tatì
590,Gejiu,CN,43.41,clear sky,23.31,103.16,Hongtai Commercial Hotel
591,Shasta Lake,US,42.01,clear sky,40.68,-122.37,Shasta Dam Motel
599,Montesarchio,IT,55.4,broken clouds,41.07,14.64,La Vigna - Restaurant & Hotel
602,Necochea,AR,68.0,clear sky,-38.55,-58.74,dyd -mar Hotel
603,Arrifes,PT,57.2,light intensity shower rain,37.77,-25.7,Hotel Ponta Delgada
604,Margate,GB,48.0,clear sky,51.38,1.39,Premier Inn Margate hotel
605,Kropotkin,RU,40.87,clear sky,45.44,40.58,Hotel Europe Kropotkin
606,Taltal,CL,67.93,clear sky,-25.4,-70.48,Residencial Karime
610,Salisbury,GB,44.6,mist,51.07,-1.8,Mercure Salisbury White Hart Hotel
612,Wang Saphung,TH,69.84,scattered clouds,17.3,101.77,โรงแรมวังรีสอร์ท
614,Portland,US,41.0,mist,45.52,-122.68,The Bidwell Marriott Portland
616,Ajuchitlan,MX,46.4,clear sky,20.72,-100.02,El Gallo Colon Querétaro
624,Bairnsdale,AU,53.01,clear sky,-37.83,147.62,Town Central Motel
632,Bafq,IR,59.09,scattered clouds,31.61,55.41,Alamdar Hotel
633,Tuatapere,NZ,53.01,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
636,Phenix City,US,59.0,overcast clouds,32.47,-85.0,Columbus Marriott
647,Puertollano,ES,55.99,broken clouds,38.69,-4.11,Hotel Puertollano
651,Port Pirie,AU,64.4,clear sky,-33.18,138.02,John Pirie Motor Inn
657,Tezu,IN,64.4,clear sky,27.92,96.17,Circuit House
663,Russell,US,59.0,light rain,32.35,-85.2,Macs
666,Winchester,GB,48.2,broken clouds,51.07,-1.32,Lainston House
671,San Buenaventura,MX,63.0,clear sky,27.08,-101.53,Hotel Gran Plaza
673,Ayacucho,PE,53.6,light rain,-13.16,-74.22,Hotel Incasol
