City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Ancud,CL,-41.87,-73.82,55.99,62,75,4.7,broken clouds
171,Xining,CN,36.62,101.77,26.42,81,100,1.45,overcast clouds
172,Hamilton,US,39.18,-84.53,44.01,74,40,3.27,scattered clouds
173,Tura,IN,25.52,90.22,62.85,87,0,4.05,clear sky
174,Mataura,NZ,-46.19,168.86,53.01,85,100,2.53,overcast clouds
175,Hithadhoo,MV,-0.6,73.08,82.78,68,82,6.64,broken clouds
176,Ilulissat,GL,69.22,-51.1,26.6,73,90,17.22,overcast clouds
177,Juneau,US,58.3,-134.42,39.2,86,90,17.22,light snow
178,Nuuk,GL,64.18,-51.72,30.2,74,75,20.8,broken clouds
179,Kuryk,KZ,43.2,51.65,42.98,58,100,21.43,overcast clouds
180,Kaitangata,NZ,-46.28,169.85,52.0,71,92,3.0,overcast clouds
181,Shimoda,JP,34.67,138.95,43.0,78,0,7.65,clear sky
182,Pombal,BR,-6.77,-37.8,94.01,28,75,8.14,broken clouds
183,Puerto Del Rosario,ES,28.5,-13.86,68.0,72,75,6.93,broken clouds
184,Shushtar,IR,32.05,48.86,66.42,81,65,10.09,moderate rain
185,Severnoye,RU,56.35,78.36,3.78,94,0,3.47,clear sky
186,Tilichiki,RU,60.47,166.1,2.64,91,0,9.1,clear sky
187,Kahului,US,20.89,-156.47,69.8,77,20,5.82,light rain
188,East London,ZA,-33.02,27.91,69.8,73,0,9.17,clear sky
189,Swan River,CA,52.11,-101.27,12.2,78,0,13.87,clear sky
190,Conceicao Do Mato Dentro,BR,-19.04,-43.42,78.3,64,74,4.0,broken clouds
191,Kertosono,ID,-7.58,112.1,73.98,94,100,5.32,light rain
192,Saint-Augustin,CA,51.23,-58.65,30.76,98,100,10.27,light snow
193,Nikolskoye,RU,59.7,30.79,32.0,93,75,8.95,snow
194,Upernavik,GL,72.79,-56.15,7.32,75,100,8.55,overcast clouds
195,Narsaq,GL,60.92,-46.05,23.0,53,0,9.17,clear sky
196,Vondrozo,MG,-22.82,47.28,72.61,82,3,7.83,clear sky
197,Puro,PH,12.48,123.38,80.46,81,10,14.92,light rain
198,Slave Lake,CA,55.28,-114.77,10.4,85,1,4.7,clear sky
199,Bethel,US,41.37,-73.41,43.0,59,0,1.01,clear sky
200,Khor,RU,47.89,134.95,11.35,91,80,9.84,broken clouds
201,Xingcheng,CN,40.62,120.72,26.53,78,0,4.72,clear sky
202,Ossora,RU,59.24,163.07,21.88,97,100,12.19,light snow
203,Mandali,IQ,33.75,45.55,61.7,67,12,9.46,few clouds
204,Coquimbo,CL,-29.95,-71.34,60.8,72,0,14.99,clear sky
205,Takab,IR,36.4,47.11,37.45,89,100,0.92,light rain
206,Bandarbeyla,SO,9.49,50.81,77.81,78,3,17.74,light rain
207,Langxiang,CN,46.95,128.88,5.76,93,65,3.83,broken clouds
208,Norman Wells,CA,65.28,-126.83,-4.0,83,75,9.17,broken clouds
209,Caiaponia,BR,-16.96,-51.81,87.62,39,0,7.72,clear sky
210,Victoria,HK,22.29,114.16,68.0,65,71,1.01,broken clouds
211,Hofn,IS,64.25,-15.21,33.8,100,20,8.05,few clouds
212,Westport,US,41.14,-73.36,46.99,57,1,6.44,clear sky
213,Constitucion,CL,-35.33,-72.42,65.66,55,0,16.96,clear sky
214,Carnarvon,AU,-24.87,113.63,69.8,83,0,19.46,clear sky
215,North Platte,US,41.12,-100.77,32.0,74,1,13.87,clear sky
216,Chimbote,PE,-9.09,-78.58,69.71,74,72,7.09,broken clouds
217,Saint Anthony,US,45.02,-93.22,37.4,59,90,16.11,overcast clouds
218,Ketchikan,US,55.34,-131.65,44.6,100,90,21.92,moderate rain
219,Sao Filipe,CV,14.9,-24.5,74.82,72,87,13.62,overcast clouds
220,Sungaipenuh,ID,-2.08,101.38,64.44,85,77,1.54,broken clouds
221,Troitsko-Pechorsk,RU,62.71,56.2,6.4,95,0,4.97,clear sky
222,Bodden Town,KY,19.28,-81.25,75.99,100,75,2.24,broken clouds
223,Punta Cardon,VE,11.66,-70.22,83.48,73,100,20.36,overcast clouds
224,Camacha,PT,33.08,-16.33,62.6,59,40,9.17,shower rain
225,Tikrit,IQ,34.61,43.68,61.54,56,3,5.41,clear sky
226,Broome,US,42.25,-75.83,39.99,55,1,8.05,clear sky
227,Springbok,ZA,-29.66,17.89,77.67,31,0,22.3,clear sky
228,Saldanha,ZA,-33.01,17.94,73.4,46,0,19.46,clear sky
229,Husavik,IS,66.04,-17.34,28.4,100,40,3.36,scattered clouds
230,Anadyr,RU,64.75,177.48,-5.8,83,0,6.71,clear sky
231,Chuy,UY,-33.7,-53.46,79.99,63,5,11.61,clear sky
232,Blackwater,AU,-23.58,148.88,70.81,70,0,11.3,clear sky
233,Alvorada,BR,-12.48,-49.12,92.84,35,21,9.1,few clouds
234,Henties Bay,NA,-22.12,14.28,62.01,82,3,14.79,clear sky
235,Benghazi,LY,32.12,20.07,66.2,56,0,12.12,clear sky
236,Nemuro,JP,43.32,145.57,35.83,81,100,9.91,overcast clouds
237,Vostok,RU,46.49,135.88,2.93,95,100,4.36,overcast clouds
238,Vestmanna,FO,62.16,-7.17,44.6,81,77,19.46,broken clouds
239,Bardiyah,LY,31.76,25.09,65.03,47,46,6.42,scattered clouds
240,Tocache,PE,-8.18,-76.51,75.2,87,95,2.13,moderate rain
241,Coos Bay,US,43.37,-124.22,42.01,93,1,9.17,clear sky
242,Angoche,MZ,-16.23,39.91,83.43,70,1,9.4,clear sky
243,Yangjiang,CN,21.85,111.97,66.31,58,100,9.82,overcast clouds
244,Bom Jesus,BR,-9.07,-44.36,88.36,44,100,7.36,overcast clouds
245,Erzin,TR,36.96,36.2,66.0,44,0,2.44,clear sky
246,Erdenet,MN,49.03,104.08,2.68,90,0,3.04,clear sky
247,Udon Thani,TH,17.33,102.83,70.0,70,95,7.56,overcast clouds
248,Talnakh,RU,69.49,88.4,6.8,84,90,26.84,snow
249,Haapsalu,EE,58.94,23.54,33.8,86,75,4.7,broken clouds
250,Bud,US,39.45,-86.18,39.0,80,1,4.23,clear sky
251,Lethbridge,CA,49.7,-112.82,30.2,58,20,11.41,few clouds
252,Marzuq,YE,14.4,46.47,68.52,70,2,7.92,clear sky
253,Guerrero Negro,MX,27.98,-114.06,57.07,38,1,1.52,clear sky
254,Alugan,PH,12.22,125.48,81.03,83,26,15.93,light rain
255,Coihaique,CL,-45.58,-72.07,51.8,53,40,8.05,scattered clouds
256,Vila Velha,BR,-20.33,-40.29,84.0,65,40,11.41,scattered clouds
257,Spearfish,US,44.49,-103.86,21.99,67,1,5.82,clear sky
258,Verkhniy Avzyan,RU,53.53,57.54,20.93,97,100,0.87,snow
259,Tabas,IR,33.6,56.92,60.8,44,100,2.24,overcast clouds
260,Mount Isa,AU,-20.73,139.5,82.4,30,0,4.7,clear sky
261,Zwedru,LR,6.07,-8.13,86.16,63,73,2.06,light rain
262,Sakakah,SA,29.97,40.21,64.4,48,0,8.05,clear sky
263,Celestun,MX,20.87,-90.4,77.11,77,1,10.27,clear sky
264,Saint-Joseph,RE,-21.37,55.62,77.0,73,75,4.7,broken clouds
265,Cidreira,BR,-30.18,-50.21,80.55,73,64,4.85,light rain
266,Oriximina,BR,-1.77,-55.87,91.63,50,79,5.41,broken clouds
267,Chudovo,RU,59.12,31.68,30.31,95,89,8.41,overcast clouds
268,Provideniya,RU,64.38,-173.3,14.74,91,68,7.61,broken clouds
269,Bereda,ES,43.27,-7.54,57.99,90,100,4.0,overcast clouds
270,Midland,US,32.0,-102.08,37.4,93,90,13.87,mist
271,Chapais,CA,49.78,-74.85,26.6,92,90,2.84,overcast clouds
272,Krasnoselkup,RU,65.7,82.47,-1.26,92,90,10.98,overcast clouds
273,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,82.35,64,34,12.84,scattered clouds
274,Eydhafushi,MV,5.1,73.07,83.12,65,66,9.26,broken clouds
275,Mareeba,AU,-17.0,145.43,77.0,83,90,5.82,overcast clouds
276,Maykor,RU,59.01,55.88,13.06,95,52,2.73,broken clouds
277,Krasnokamensk,RU,50.1,118.04,-1.35,88,1,3.85,clear sky
278,Lompoc,US,34.64,-120.46,41.0,64,1,4.7,clear sky
279,Meix-Devant-Virton,BE,49.62,5.48,34.0,86,72,1.01,broken clouds
280,Lagoa,PT,39.05,-27.98,58.78,75,99,27.51,overcast clouds
281,Souillac,MU,-20.52,57.52,77.0,78,20,10.29,few clouds
282,Bonthe,SL,7.53,-12.51,84.6,69,90,8.3,light rain
283,Pacific Grove,US,36.62,-121.92,39.2,55,1,3.36,clear sky
284,Tolbazy,RU,54.02,55.88,24.8,92,90,4.47,snow
285,Alvaraes,BR,-3.22,-64.8,82.4,88,40,3.36,scattered clouds
286,Yar-Sale,RU,66.83,70.83,16.65,93,100,15.61,overcast clouds
287,Kortkeros,RU,61.81,51.58,3.2,84,20,4.47,few clouds
288,Arganil,PT,40.22,-8.05,62.01,68,96,3.0,overcast clouds
289,Najran,SA,17.49,44.13,78.8,39,75,6.93,broken clouds
290,Denizli,TR,37.84,29.07,55.4,32,0,3.36,clear sky
291,Honningsvag,NO,70.98,25.97,39.63,74,57,20.02,broken clouds
292,Maltahohe,NA,-24.83,16.98,93.07,11,19,21.7,few clouds
293,Ashington,GB,50.93,-0.39,48.2,87,75,6.93,broken clouds
294,San Patricio,US,28.02,-97.52,57.2,93,75,11.41,broken clouds
295,Cherskiy,RU,68.75,161.3,-9.69,90,100,5.3,overcast clouds
296,Solnechnyy,RU,50.72,136.63,8.87,93,99,0.69,overcast clouds
297,Nouadhibou,MR,20.93,-17.03,77.0,36,14,6.93,few clouds
298,Pangnirtung,CA,66.15,-65.71,-1.59,88,100,1.41,overcast clouds
299,Amurzet,RU,47.7,131.1,13.32,85,77,8.9,broken clouds
300,Alexandria,EG,31.22,29.96,62.6,82,40,9.17,scattered clouds
301,Maiduguri,NG,11.85,13.16,92.46,12,65,7.11,broken clouds
302,Kaeo,NZ,-35.1,173.78,64.0,94,100,8.86,overcast clouds
303,Nyurba,RU,63.28,118.33,-12.23,89,34,7.49,scattered clouds
304,Luderitz,NA,-26.65,15.16,73.4,56,0,24.16,clear sky
305,Mae Ramat,TH,16.98,98.52,71.2,82,17,2.21,few clouds
306,Puerto Madryn,AR,-42.77,-65.04,63.57,28,0,25.64,clear sky
307,Presidente Dutra,BR,-5.29,-44.49,91.83,43,99,6.31,overcast clouds
308,Ushtobe,KZ,45.25,77.98,24.33,91,97,11.23,overcast clouds
309,Ifakara,TZ,-8.13,36.68,89.02,48,88,5.91,overcast clouds
310,Burnie,AU,-41.07,145.92,46.0,94,2,4.0,clear sky
311,Isiro,CD,2.77,27.62,76.82,76,61,1.99,broken clouds
312,Bartica,GY,6.4,-58.62,84.2,79,75,9.17,light rain
313,Saskylakh,RU,71.92,114.08,11.35,93,99,15.46,overcast clouds
314,Agboville,CI,5.93,-4.21,83.68,79,75,2.21,moderate rain
315,Kilvelur,IN,10.77,79.74,76.59,89,31,7.61,scattered clouds
316,Ambilobe,MG,-13.2,49.05,79.57,76,48,4.7,moderate rain
317,Gari,RU,59.43,62.35,9.84,95,0,4.14,clear sky
318,Severobaykalsk,RU,55.65,109.32,4.98,84,8,5.48,clear sky
319,Paracuru,BR,-3.41,-39.03,89.6,49,20,20.8,few clouds
320,Rurrenabaque,BO,-14.44,-67.53,87.8,74,40,1.54,scattered clouds
321,Westbury,US,40.76,-73.59,48.99,49,1,6.93,clear sky
322,Newport,GB,51.59,-3.0,48.0,98,58,1.57,broken clouds
323,Billings,US,45.78,-108.5,24.8,73,1,8.05,clear sky
324,Narragansett,US,41.45,-71.45,50.0,57,0,1.99,clear sky
325,Lalmohan,BD,22.34,90.74,73.08,57,5,9.82,clear sky
326,Yeppoon,AU,-23.13,150.73,69.8,83,0,6.02,clear sky
327,Paamiut,GL,61.99,-49.67,28.09,89,92,15.64,overcast clouds
328,Karratha,AU,-20.74,116.85,77.72,73,0,11.54,light rain
329,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,15.8,72,40,8.95,scattered clouds
330,Shubarshi,KZ,48.59,57.19,16.41,94,0,8.48,clear sky
331,Zhangjiakou,CN,40.81,114.88,14.61,83,2,4.32,clear sky
332,Curaca,BR,-8.99,-39.91,89.65,33,22,13.42,few clouds
333,Eruwa,NG,7.53,3.42,94.62,32,4,4.59,clear sky
334,Yulara,AU,-25.24,130.99,89.6,24,1,12.75,clear sky
335,Porto Walter,BR,-8.27,-72.74,89.92,51,84,3.67,broken clouds
336,Geraldton,AU,-28.77,114.6,64.4,63,27,12.75,scattered clouds
337,Tabalosos,PE,-6.35,-76.68,78.8,83,75,2.24,broken clouds
338,Mahibadhoo,MV,3.78,72.97,82.89,63,20,6.6,few clouds
339,Port-Gentil,GA,-0.72,8.78,82.4,78,40,10.29,scattered clouds
340,Andra,RU,62.51,65.89,10.06,94,0,4.38,clear sky
341,Marawi,PH,8.0,124.29,78.01,88,99,4.0,overcast clouds
342,Pecos,US,31.42,-103.49,37.4,64,1,5.82,clear sky
